Date,Open,High,Low,Close,Adj Close,Volume
2022-07-03,19242.1,19558.27,18966.95,19297.08,19297.08,16390821947
2022-07-04,19297.31,20258.75,19063.07,20231.26,20231.26,21594638208
2022-07-05,20225.35,20635.47,19341.23,20190.12,20190.12,26715546990
2022-07-06,20194.62,20595.53,19823.51,20548.25,20548.25,24598943708
2022-07-07,20547.81,21771.82,20296.1,21637.59,21637.59,25814972520
2022-07-08,21637.15,22314.94,21257.45,21731.12,21731.12,49899834488
2022-07-09,21716.83,21877.14,21445.96,21592.21,21592.21,29641127858
2022-07-10,21591.08,21591.08,20727.12,20860.45,20860.45,28688807249
2022-07-11,20856.35,20856.35,19924.54,19970.56,19970.56,24150249025
2022-07-12,19970.47,20043.45,19308.53,19323.91,19323.91,25810220018
2022-07-13,19325.97,20223.05,18999.95,20212.07,20212.07,33042430345
2022-07-14,20211.47,20789.89,19689.26,20569.92,20569.92,31158743333
2022-07-15,20573.16,21138.24,20397.0,20836.33,20836.33,25905575359
2022-07-16,20834.1,21514.4,20518.9,21190.32,21190.32,24302954056
2022-07-17,21195.04,21600.64,20778.18,20779.34,20779.34,22927802083
2022-07-18,20781.91,22633.03,20781.91,22485.69,22485.69,39974475562
2022-07-19,22467.85,23666.96,21683.41,23389.43,23389.43,48765202697
2022-07-20,23393.19,24196.82,23009.95,23231.73,23231.73,42932549127
2022-07-21,23233.2,23388.32,22431.15,23164.63,23164.63,33631012204
2022-07-22,23163.75,23671.93,22603.42,22714.98,22714.98,31421555646
2022-07-23,22706.98,22977.21,22002.91,22465.48,22465.48,24021799169
2022-07-24,22465.51,22974.0,22306.84,22609.16,22609.16,23565495303
2022-07-25,22607.16,22649.12,21361.64,21361.7,21361.7,35574561406
2022-07-26,21361.12,21361.12,20776.82,21239.75,21239.75,28624673855
2022-07-27,21244.17,22986.53,21070.81,22930.55,22930.55,31758955233
2022-07-28,22933.64,24110.47,22722.27,23843.89,23843.89,40212386158
2022-07-29,23845.21,24294.79,23481.17,23804.63,23804.63,35887249746
2022-07-30,23796.82,24572.58,23580.51,23656.21,23656.21,28148218301
2022-07-31,23652.07,24121.64,23275.7,23336.9,23336.9,23553591896
2022-08-01,23336.72,23464.79,22890.8,23314.2,23314.2,25849159141
2022-08-02,23308.43,23415.04,22710.08,22978.12,22978.12,28389250717
2022-08-03,22981.3,23578.65,22747.84,22846.51,22846.51,26288169966
2022-08-04,22848.21,23198.01,22485.7,22630.96,22630.96,25120229769
2022-08-05,22626.83,23422.83,22612.18,23289.31,23289.31,28881249043
2022-08-06,23291.42,23326.56,22961.28,22961.28,22961.28,15978259885
2022-08-07,22963.51,23359.01,22894.56,23175.89,23175.89,15886817043
2022-08-08,23179.53,24203.69,23176.55,23809.49,23809.49,28575544847
2022-08-09,23811.48,23898.62,22982.0,23164.32,23164.32,23555719219
2022-08-10,23162.9,24127.41,22771.52,23947.64,23947.64,32837431722
2022-08-11,23948.35,24822.63,23901.0,23957.53,23957.53,37127036580
2022-08-12,23957.2,24412.57,23657.27,24402.82,24402.82,27265804688
2022-08-13,24402.19,24860.05,24346.12,24424.07,24424.07,22987346289
2022-08-14,24429.06,24974.91,24206.26,24319.33,24319.33,22994133555
2022-08-15,24318.32,25135.59,23839.78,24136.97,24136.97,35123501685
2022-08-16,24126.14,24228.42,23733.5,23883.29,23883.29,27753685646
2022-08-17,23881.32,24407.06,23243.35,23336.0,23336.0,30931623076
2022-08-18,23341.04,23563.83,23177.6,23212.74,23212.74,23747613147
2022-08-19,23213.31,23213.31,20868.85,20877.55,20877.55,40509610260
2022-08-20,20872.84,21350.81,20856.73,21166.06,21166.06,27595671000
2022-08-21,21160.39,21668.85,21103.2,21534.12,21534.12,23102307723
2022-08-22,21531.46,21531.46,20939.18,21398.91,21398.91,31666498758
2022-08-23,21401.04,21646.2,20955.14,21528.09,21528.09,31878280659
2022-08-24,21526.46,21783.08,21195.01,21395.02,21395.02,31962253368
2022-08-25,21395.46,21789.64,21362.44,21600.9,21600.9,31028679593
2022-08-26,21596.09,21804.91,20199.48,20260.02,20260.02,42326789564
2022-08-27,20262.48,20340.78,19890.52,20041.74,20041.74,30116729776
2022-08-28,20041.04,20139.05,19616.81,19616.81,19616.81,24366810591
2022-08-29,19615.15,20357.46,19600.79,20297.99,20297.99,32637854078
2022-08-30,20298.61,20542.64,19617.64,19796.81,19796.81,34483360283
2022-08-31,19799.58,20420.99,19799.58,20049.76,20049.76,33225232872
2022-09-01,20050.5,20198.39,19653.97,20127.14,20127.14,30182031010
2022-09-02,20126.07,20401.57,19814.77,19969.77,19969.77,29123998928
2022-09-03,19969.72,20037.01,19698.36,19832.09,19832.09,23613051457
2022-09-04,19832.47,19999.69,19636.82,19986.71,19986.71,25245861652
2022-09-05,19988.79,20031.16,19673.05,19812.37,19812.37,28813460025
2022-09-06,19817.72,20155.27,18800.17,18837.67,18837.67,43403978910
2022-09-07,18837.68,19427.17,18644.47,19290.32,19290.32,35239757134
2022-09-08,19289.94,19417.35,19076.71,19329.83,19329.83,32194477850
2022-09-09,19328.14,21439.41,19310.96,21381.15,21381.15,48469528171
2022-09-10,21376.91,21760.28,21168.72,21680.54,21680.54,36913738894
2022-09-11,21678.54,21770.55,21406.95,21769.26,21769.26,34493951963
2022-09-12,21770.15,22439.18,21603.9,22370.45,22370.45,50212088965
2022-09-13,22371.48,22673.82,20062.67,20296.71,20296.71,51091116622
2022-09-14,20184.55,20467.2,19793.4,20241.09,20241.09,37872380889
2022-09-15,20242.29,20318.17,19636.73,19701.21,19701.21,36389011503
2022-09-16,19704.01,19870.63,19400.08,19772.58,19772.58,30123362273
2022-09-17,19777.03,20162.53,19777.03,20127.58,20127.58,24957448100
2022-09-18,20127.23,20127.23,19387.49,19419.51,19419.51,31254779144
2022-09-19,19418.57,19639.48,18390.32,19544.13,19544.13,40177002624
2022-09-20,19545.59,19602.46,18813.46,18890.79,18890.79,36791346508
2022-09-21,18891.28,19674.63,18290.31,18547.4,18547.4,46363793975
2022-09-22,18534.65,19456.91,18415.59,19413.55,19413.55,41135767926
2022-09-23,19412.4,19464.67,18617.55,19297.64,19297.64,38896078052
2022-09-24,19296.99,19310.2,18861.97,18937.01,18937.01,26149643168
2022-09-25,18936.31,19134.73,18696.47,18802.1,18802.1,23359966112
2022-09-26,18803.9,19274.87,18721.29,19222.67,19222.67,44148798321
2022-09-27,19221.84,20338.46,18915.67,19110.55,19110.55,58571439619
2022-09-28,19104.62,19688.34,18553.3,19426.72,19426.72,53071298734
2022-09-29,19427.78,19589.27,18924.35,19573.05,19573.05,41037843771
2022-09-30,19573.43,20109.85,19265.66,19431.79,19431.79,43975248085
2022-10-01,19431.11,19471.15,19231.08,19312.1,19312.1,18719537670
2022-10-02,19311.85,19370.31,18970.62,19044.11,19044.11,20765955327
2022-10-03,19044.07,19653.54,19025.23,19623.58,19623.58,30484729489
2022-10-04,19623.58,20380.34,19523.84,20336.84,20336.84,35887278685
2022-10-05,20335.9,20343.75,19801.8,20160.72,20160.72,33223790572
2022-10-06,20161.04,20408.39,19900.09,19955.44,19955.44,34711412966
2022-10-07,19957.56,20041.09,19395.79,19546.85,19546.85,29227315390
2022-10-08,19546.33,19601.7,19299.41,19416.57,19416.57,16437423167
2022-10-09,19417.48,19542.54,19349.26,19446.43,19446.43,16837262532
2022-10-10,19446.42,19515.47,19102.98,19141.48,19141.48,27425022774
2022-10-11,19139.0,19241.96,18925.6,19051.42,19051.42,28711532910
2022-10-12,19052.65,19203.2,19029.76,19157.45,19157.45,24950173846
2022-10-13,19156.97,19453.33,18319.82,19382.9,19382.9,44219840004
2022-10-14,19382.53,19889.15,19115.41,19185.66,19185.66,38452356727
2022-10-15,19185.44,19212.54,19019.25,19067.63,19067.63,16192235532
2022-10-16,19068.91,19389.6,19068.91,19268.09,19268.09,17988916650
2022-10-17,19268.56,19635.8,19173.33,19550.76,19550.76,27472552998
2022-10-18,19550.47,19666.99,19144.77,19334.42,19334.42,30580012344
2022-10-19,19335.03,19348.42,19127.69,19139.54,19139.54,22425387184
2022-10-20,19138.09,19315.2,18971.46,19053.74,19053.74,24493974420
2022-10-21,19053.2,19237.38,18770.97,19172.47,19172.47,32459287866
2022-10-22,19172.38,19248.07,19132.24,19208.19,19208.19,16104440957
2022-10-23,19207.73,19646.65,19124.2,19567.01,19567.01,22128794335
2022-10-24,19567.77,19589.12,19206.32,19345.57,19345.57,30202235805
2022-10-25,19344.96,20348.41,19261.45,20095.86,20095.86,47761524910
2022-10-26,20092.24,20938.13,20076.12,20770.44,20770.44,58895950537
2022-10-27,20772.8,20854.04,20255.37,20285.84,20285.84,49625110402
2022-10-28,20287.96,20724.98,20086.07,20595.35,20595.35,43994715910
2022-10-29,20595.1,20988.39,20566.48,20818.48,20818.48,40369840645
2022-10-30,20817.98,20917.01,20547.46,20635.6,20635.6,31486345556
2022-10-31,20633.7,20795.32,20287.46,20495.77,20495.77,45668466815
2022-11-01,20494.9,20647.29,20359.85,20485.27,20485.27,39819303159
